inGameName,memberID,status,joinDate,departDate,clubInfoOrder,notes
CashBaggins,"136,916,624,276",Active,2025/07/08,,1,The founder! Data nerd.
Top,"903,049,412,215",Active,2025/7/10,,2,"the OG club member, back in the day, it was just Cash and Top. Fun fact, Cash and Top share a birthday!"
WaveofGratitude,"974,000,987,296",Active,2025/08/08,,3,round 1 recruiting member!
GhostlyInsomnia,"501,946,555,879",Active,2025/08/08,,4,round 1 recruiting member!
Kino,"233,326,457,991",Active,2025/08/08,,5,round 1 recruiting member!
Claimses,"858,827,110,578",Active,2025/08/08,,6,round 1 recruiting member!
d,"820,033,818,439",Active,2025/08/08,,7,round 1 recruiting member!
Yuto,"877,841,519,612",Active,2025/08/09,,8,round 1 recruiting member!
Dill Dough,"218,920,851,907",Active,2025/08/09,,9,round 1 recruiting member!
Pygums,"759,332,989,174",Active,2025/08/09,,10,round 1 recruiting member!
Eunoia,"671,913,981,458",Active,2025/08/09,,11,round 1 recruiting member!
Ray,"798,189,422,300",Active,2025/08/09,,12,round 1 recruiting member!
Epidemic,"672,866,355,033",Active,2025/08/09,,13,Provided encouragement to Cash to get the club going!
Gearras,"880,360,629,036",Active,2025/08/09,,14,round 1 recruiting member!
SmillBlisser,PENDING000,Active,2025/08/09,,15,request
StarLight,PENDING001,Active,2025/08/09,,16,request
cinciol,PENDING002,Active,2025/08/09,,17,request
Iyy,"627,953,692,508",Active,,,18,WaveofGratitude referral
Walzy,"461,448,286,660",Pending,,,19,round 1 recruiting member!
Keyevin,"336,227,182,745",Pending,,,20,round 1 recruiting member!
gumgum,"475,657,967,902",Pending,,,21,round 1 recruiting member!
Smokee,"751,211,063,525",Pending,,,22,round 1 recruiting member!
paxmix,"192,341,494,286",Pending,,,23,round 1 recruiting member!
Magnos,"773,711,119,119",Pending,,,24,round 1 recruiting member!
Boredom,"215,127,827,107",Pending,,,25,round 1 recruiting member!